gene	subtype	type
BAC0003	acn	Iron (Fe)
BAC0004	acr3	Arsenic (As)
BAC0563	acrD	Multi-metal
BAC0567	actA	Multi-metal
BAC0012	actP	Multi-metal
BAC0568	actP	Copper (Cu)
BAC0570	actP	Tellurium (Te)
BAC0565	actR	Multi-metal
BAC0566	actS	Multi-metal
BAC0020	aioA/aoxB	Arsenic (As)
BAC0021	aioB/aoxA	Arsenic (As)
BAC0715	aioE	Arsenic (As)
BAC0022	aioR/aoxR	Arsenic (As)
BAC0023	aioS/aoxS	Arsenic (As)
BAC0024	aioX/aoxX	Arsenic (As)
BAC0489	ALU1-P	Aluminium (Al)
BAC0709	arrA	Arsenic (As)
BAC0710	arrB	Arsenic (As)
BAC0030	arsA	Multi-metal
BAC0571	arsA	Multi-metal
BAC0572	arsA	Multi-metal
BAC0031	arsB	Multi-metal
BAC0573	arsB	Arsenic (As)
BAC0574	arsB	Multi-metal
BAC0575	arsB	Multi-metal
BAC0576	arsB	Multi-metal
BAC0577	arsB	Arsenic (As)
BAC0578	arsB	Multi-metal
BAC0579	arsB	Multi-metal
BAC0032	arsC	Arsenic (As)
BAC0580	arsC	Arsenic (As)
BAC0581	arsC	Arsenic (As)
BAC0582	arsC	Multi-metal
BAC0583	arsC	Multi-metal
BAC0584	arsC	Multi-metal
BAC0585	arsC	Multi-metal
BAC0586	arsC	Arsenic (As)
BAC0033	arsD	Arsenic (As)
BAC0587	arsD	Multi-metal
BAC0034	arsH	Arsenic (As)
BAC0595	arsH	Multi-metal
BAC0035	arsM	Arsenic (As)
BAC0036	arsP	Arsenic (As)
BAC0588	arsR	Arsenic (As)
BAC0589	arsR	Multi-metal
BAC0590	arsR	Multi-metal
BAC0591	arsR	Multi-metal
BAC0592	arsR	Multi-metal
BAC0593	arsR	Arsenic (As)
BAC0594	arsR	Arsenic (As)
BAC0714	arsT	Arsenic (As)
BAC0039	baeR	Multi-metal
BAC0596	baeR	Multi-metal
BAC0040	baeS	Multi-metal
BAC0597	baeS	Multi-metal
BAC0048	bfrA	Iron (Fe)
BAC0049	bhsA/ycfR/comC	Copper (Cu)
BAC0055	cadA/yvgW	Multi-metal
BAC0056	cadC	Multi-metal
BAC0057	cadD	Multi-metal
BAC0059	cadX	Multi-metal
BAC0062	ceuE	Chromium (Cr)
BAC0063	chrA	Chromium (Cr)
BAC0026	chrA	Chromium (Cr)
BAC0548	chrA1	Chromium (Cr)
BAC0027	chrB	Multi-metal
BAC0064	chrB1	Chromium (Cr)
BAC0547	chrC	Chromium (Cr)
BAC0028	chrC	Multi-metal
BAC0065	chrE	Chromium (Cr)
BAC0066	chrF	Chromium (Cr)
BAC0029	chrF	Multi-metal
BAC0361	chrI	Chromium (Cr)
BAC0538	chrR	Multi-metal
BAC0539	chrR	Chromium (Cr)
BAC0067	cinA	Copper (Cu)
BAC0068	cmeA	Multi-metal
BAC0613	cmeB	Multi-metal
BAC0614	cmeC	Multi-metal
BAC0071	cmtR	Multi-metal
BAC0203	cnrA	Multi-metal
BAC0542	cnrA	Multi-metal
BAC0543	cnrA	Multi-metal
BAC0544	cnrA	Multi-metal
BAC0545	cnrA	Multi-metal
BAC0546	cnrA	Multi-metal
BAC0204	cnrB	Multi-metal
BAC0072	cnrC	Multi-metal
BAC0073	cnrH	Multi-metal
BAC0291	cnrR/cnrX	Multi-metal
BAC0074	cnrT	Multi-metal
BAC0075	cnrY	Multi-metal
BAC0076	comR/ycfQ	Copper (Cu)
BAC0077	copA	Multi-metal
BAC0078	copA	Copper (Cu)
BAC0619	copA	Copper (Cu)
BAC0620	copA	Copper (Cu)
BAC0621	copA	Copper (Cu)
BAC0622	copA	Multi-metal
BAC0623	copA	Copper (Cu)
BAC0624	copA	Copper (Cu)
BAC0625	copA	Copper (Cu)
BAC0716	copA	Copper (Cu)
BAC0723	copA	Copper (Cu)
BAC0725	copA	Copper (Cu)
BAC0626	copB	Copper (Cu)
BAC0627	copB	Copper (Cu)
BAC0628	copB	Copper (Cu)
BAC0629	copB	Copper (Cu)
BAC0079	copB	Multi-metal
BAC0718	copB	Copper (Cu)
BAC0722	copB	Copper (Cu)
BAC0730	copB	Copper (Cu)
BAC0630	copC	Copper (Cu)
BAC0631	copC	Copper (Cu)
BAC0639	copC	Copper (Cu)
BAC0721	copC	Copper (Cu)
BAC0729	copC	Copper (Cu)
BAC0738	copC	Copper (Cu)
BAC0749	copC	Copper (Cu)
BAC0632	copD	Copper (Cu)
BAC0633	copD	Copper (Cu)
BAC0640	copD	Copper (Cu)
BAC0739	copD	Copper (Cu)
BAC0748	copD	Copper (Cu)
BAC0747	copF	Copper (Cu)
BAC0717	copG	Copper (Cu)
BAC0746	copG	Copper (Cu)
BAC0080	copJ	Copper (Cu)
BAC0081	copK	Copper (Cu)
BAC0082	copL	Copper (Cu)
BAC0743	copL	Copper (Cu)
BAC0713	copM	Copper (Cu)
BAC0745	copM	Copper (Cu)
BAC0634	copP	Copper (Cu)
BAC0635	copP	Copper (Cu)
BAC0083	copR	Copper (Cu)
BAC0638	copR	Copper (Cu)
BAC0719	copR	Copper (Cu)
BAC0753	copR	Copper (Cu)
BAC0757	copR	Copper (Cu)
BAC0637	copS	Copper (Cu)
BAC0537	copS	Copper (Cu)
BAC0720	copS	Copper (Cu)
BAC0752	copS	Copper (Cu)
BAC0744	cop-unnamed	Copper (Cu)
BAC0750	cop-unnamed	Copper (Cu)
