Domain,Phylum,Class,Order,Family,Genus,Species
d__Bacteria,p__Bacillota,c__Clostridia,o__Halanaerobiales,NA,g__Anoxybacter,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Aquabacterium,NA
d__Bacteria,p__Candidatus Absconditabacteria,NA,o__Candidatus Absconditabacterales,f__Candidatus Absconditicoccaceae,g__Candidatus Absconditicoccus,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Azoamicus,NA
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,NA,g__Candidatus Azobacteroides,NA
d__Bacteria,NA,c__Candidatus Babeliae,o__Candidatus Babeliales,f__Candidatus Babeliaceae,g__Candidatus Babela,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Baumannia,NA
d__Bacteria,p__Candidatus Bipolaricaulota,NA,NA,NA,g__Candidatus Bipolaricaulis,NA
d__Bacteria,NA,NA,NA,f__Candidatus Chazhemtobacteraceae,g__Candidatus Chazhemtobacterium,NA
d__Bacteria,NA,c__Candidatus Babeliae,o__Candidatus Babeliales,f__Candidatus Chromulinivoraceae,g__Candidatus Chromulinivorax,NA
d__Bacteria,p__Candidatus Cloacimonetes,NA,NA,NA,g__Candidatus Cloacimonas,NA
d__Bacteria,p__Pseudomonadota,c__Deltaproteobacteria,NA,f__Candidatus Desulfofervidaceae,g__Candidatus Desulfofervidus,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Endoriftia,NA
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Pelagibacterales,NA,g__Candidatus Fonsibacter,NA
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,NA,g__Candidatus Hodgkinia,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Candidatus Ichthyocystis,NA
d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,NA,g__Candidatus Karelsulcia,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Kinetoplastibacterium,NA
d__Bacteria,p__Candidatus Saccharibacteria,NA,NA,NA,g__Candidatus Minimicrobia,NA
d__Bacteria,p__Candidatus Saccharibacteria,NA,NA,NA,g__Candidatus Mycosynbacter,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Nardonella,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Nasuia,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Profftella,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Pseudothioglobus,NA
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,NA,NA,g__Candidatus Puniceispirillum,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Reidiella,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Ruthia,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Steffania,NA
d__Bacteria,p__Bacteroidota,NA,o__Candidatus Sulfidibacteriales,NA,g__Candidatus Sulfidibacterium,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Thioglobus,NA
d__Bacteria,p__Candidatus Omnitrophica,NA,NA,NA,g__Candidatus Velamenicoccus,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Vesicomyosocius,NA
d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,NA,g__Candidatus Walczuchella,NA
d__Bacteria,p__Verrucomicrobiota,c__Spartobacteria,NA,NA,g__Candidatus Xiphinematobacter,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,f__Casimicrobiaceae,g__Casimicrobium,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,f__Celerinatantimonadaceae,g__Celerinatantimonas,NA
d__Bacteria,p__Acidobacteriota,c__Blastocatellia,NA,NA,g__Chloracidobacterium,NA
d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,NA,NA,g__Dehalogenimonas,NA
d__Bacteria,p__Pseudomonadota,c__Deltaproteobacteria,NA,NA,g__Dissulfurimicrobium,NA
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,NA
d__Bacteria,p__Bacillota,c__Tissierellia,NA,NA,g__Ezakiella,NA
d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,NA,g__Fenollaria,NA
d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,NA,g__Flintibacter,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Gallaecimonas,NA
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Gemella,NA
d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,NA,g__Intestinimonas,NA
d__Bacteria,p__Cyanobacteriota,c__Cyanophyceae,o__Oscillatoriales,NA,g__Koinonema,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Leptothrix,NA
d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Micrococcales,NA,g__Luteimicrobium,NA
d__Bacteria,p__Mycoplasmatota,NA,o__Mycoplasmoidales,f__Mycoplasmoidaceae,g__Malacoplasma,NA
d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,NA,g__Massilistercora,NA
d__Bacteria,p__Mycoplasmatota,NA,o__Mycoplasmoidales,f__Metamycoplasmataceae,g__Metamycoplasma,NA
d__Bacteria,p__Verrucomicrobiota,NA,NA,NA,g__Methylacidimicrobium,NA
d__Bacteria,p__Mycoplasmatota,NA,o__Mycoplasmoidales,f__Metamycoplasmataceae,g__Mycoplasmoides,NA
d__Bacteria,p__Bacillota,NA,NA,NA,g__Ndongobacter,NA
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,NA,g__Nordella,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Paucibacter,NA
d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Micrococcales,NA,g__Pengzhenrongella,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Pseudohongiella,NA
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,NA,g__Pseudorhodoplanes,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Rhizobacter,NA
d__Bacteria,p__Bacteroidota,NA,NA,f__Rhodothermaceae,g__Rhodocaloribacter,NA
