BacMet_ID	Gene_name	Accession	Organism	Location	Compound
BAC0001	abeM	Q5FAM9	Acinetobacter baumanni	Chromosome	4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Triclosan [class: Phenolic compounds], Acriflavine [class: Acridine], Hoechst 33342 [class: Bisbenzimide], Rhodamine 6G [class: Xanthene], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]
BAC0002	abeS	Q2FD83	Acinetobacter baumannii	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Chlorhexidine [class: Biguanides], Pyronin Y [class: Xanthene], Rhodamine 6G [class: Xanthene], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Crystal Violet [class: Triarylmethane], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)]
BAC0758	abuO	B0VDE7	Acinetobacter baumannii	Chromosome	Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine], 
BAC0003	acn	O53166	Mycobacterium tuberculosis H37Rv	Chromosome	Iron (Fe)
BAC0004	acr3	B5LX01	Campylobacter jejuni	Chromosome	Arsenic (As)
BAC0005	acrA	P0AE06	Escherichia coli (strain K12)	Chromosome	Acriflavine [class: Acridine], Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], p-xylene [class: Aromatic hydrocarbons], Cyclohexane [class: Cycloalkane], Pentane [class: Alkane]
BAC0006	acrB	P31224	Escherichia coli (strain K12)	Chromosome	Acriflavine [class: Acridine], Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], p-xylene [class: Aromatic hydrocarbons], Cyclohexane [class: Cycloalkane], Pentane [class: Alkane]
BAC0007	acrC	Q1LMP2	Escherichia coli (strain K12)	Chromosome	Acriflavine [class: Acridine]
BAC0563	acrD	Q8ZN77	Salmonella enterica serovar Typhimurium	Chromosome	Copper (Cu), Zinc (Zn)
BAC0008	acrD/yffA	P24177	Escherichia coli (strain K12)	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid]
BAC0009	acrE/envC	P24180	Escherichia coli (strain K12)	Chromosome	Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine]
BAC0010	acrF/envD	P24181	Escherichia coli (strain K12)	Chromosome	Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine]
BAC0011	acrR/ybaH	P0ACS9	Escherichia coli (strain K12)	Chromosome	Acriflavine [class: Acridine]
BAC0567	actA	Q52910	Rhizobium meliloti TG2-6	Chromosome	Copper (Cu), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid]
BAC0012	actP	Q9X5X3	Sinorhizobium medicae (strain WSM419) (Ensifer medicae)	Plasmid pSMED01 (Sinorhizobium medicae (strain WSM419))	Copper (Cu), Sodium acetate [class: Acetate]
BAC0568	actP	Q9X5V3	Rhizobium leguminosarum bv. Viciae	Chromosome	Copper (Cu)
BAC0570	actP	D5AU53	Rhodobacter capsulatus B100	Chromosome	Tellurium (Te)
BAC0564	actP/yjcG	P32705	Escherichia coli (strain K12)	Chromosome	Sodium Glycocholate [class: Acid], Sodium acetate [class: Acetate]
BAC0565	actR	A6UEL7	Rhizobium meliloti strain WSM419	Chromosome	Cadmium (Cd), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid], Sodium azide [class: Azide]
BAC0566	actS	Q52912	Rhizobium meliloti strain WSM419	Chromosome	Cadmium (Cd), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid], Sodium azide [class: Azide]
BAC0471	adeA	Q93E20	Acinetobacter baumanni	Chromosome	Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]
BAC0472	adeB	Q93E19	Acinetobacter baumanni	Chromosome	Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergise, Wex-cide-128.
