ORF,Sample,coverage,subtype,type,contigs,Domain,Phylum,Class,Order,Family,Genus,Species,Sample_type,mechanism
k141_444245_1,ARP1,8.69794257940976,qacEdelta1,multidrug,k141_444245,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_444245_2,ARP1,14.4308685206282,sul1,sulfonamide,k141_444245,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target replacement
k141_529700_1,ARP2,2.19160881754795,sul2,sulfonamide,k141_529700,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target replacement
k141_274813_1,ARP2,0.694798647848513,aadA5,aminoglycoside,k141_274813,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_386533_3,ARP3,5.80553046145126,sul1,sulfonamide,k141_386533,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target replacement
k141_386533_4,ARP3,3.10441371004705,qacEdelta1,multidrug,k141_386533,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_678780_1,ARP4,0.216379722419564,lnu(C),macrolide-lincosamide-streptogramin,k141_678780,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_295598_1,ARP4,0.713065695134777,aadA5,aminoglycoside,k141_295598,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic inactivation
k141_253951_1,ARP4,3.03098105269184,sul2,sulfonamide,k141_253951,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target replacement
k141_271799_1,ARP5,0.761193765764682,cmx,chloramphenicol,k141_271799,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_517589_1,ARP5,11.877116506657,qacEdelta1,multidrug,k141_517589,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic efflux
k141_517589_2,ARP5,18.3347947120172,sul1,sulfonamide,k141_517589,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,ARP,Antibiotic target replacement
k141_203059_1,AT1,0.518351857549799,aadA5,aminoglycoside,k141_203059,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_110300_1,AT1,0.578534881852262,APH(3')-Ia,aminoglycoside,k141_110300,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_841088_1,AT2,0.620671535508174,erm(B),macrolide-lincosamide-streptogramin,k141_841088,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target alteration
k141_516516_1,AT2,0.675539227427684,APH(3')-Ia,aminoglycoside,k141_516516,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic inactivation
k141_751247_3,AT2,3.9418404311669,sul2,sulfonamide,k141_751247,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
k141_375667_1,AT2,10.6885060852846,sul1,sulfonamide,k141_375667,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,AT,Antibiotic target replacement
