gene	subtype	type
414_tnpA_AL513383.1	tnpA	transposase
2570_tnpA_CCSD01000073.1	tnpA	transposase
2004_tnpA_HF677572.1	tnpA	transposase
733_tnpA1_CBTR010000003.1	tnpA1	transposase
1017_tnpA_FKLR01000027.1	tnpA	transposase
2268_tnpA_AYLO01000021.1	tnpA	transposase
1044_tnpA_AB723628.1	tnpA	transposase
713_tnpA_JN887338.1	tnpA	transposase
1787_tnpA_AP008932.1	tnpA	transposase
2501_tnpA_CP017672.1	tnpA	transposase
1995_tnpA_CP009111.1	tnpA	transposase
2490_tnpA_FO681494.1	tnpA	transposase
331_tnpA_AY208917.2	tnpA	transposase
458_tnpA_KC609323.1	tnpA	transposase
746_tnpA_AJ863570.1	tnpA	transposase
758_tnpA3_FR875157.1	tnpA3	transposase
1143_tnpA_FR820585.1	tnpA	transposase
1490_tnpA_AJ515144.2	tnpA	transposase
2200_tnpA_AY365053.1	tnpA	transposase
2307_tnpA_AF333761.1	tnpA	transposase
2441_tnpA1_FR875157.1	tnpA1	transposase
2746_tnpA_AM420293.1	tnpA	transposase
2362_tnpA_AJ250371.1	tnpA	transposase
1501_tnpA_LO018305.1	tnpA	transposase
2493_tnpA_U03554.1	tnpA	transposase
337_tnpA_KF295829.1	tnpA	transposase
611_tnpA_X98999.3	tnpA	transposase
1279_tnpAc_CCYE01000010.1	tnpAc	transposase
1331_tnpAc_AB088420.3	tnpAc	transposase
2096_tnpA_AB375440.1	tnpA	transposase
785_tnpA_AF151431.1	tnpA	transposase
652_tnpA_Y09450.1	tnpA	transposase
1169_tnpA_EU780013.1	tnpA	transposase
1337_tnpA_AP001918.1	tnpA	transposase
520_tnpA_CP012903.1	tnpA	transposase
607_tnpA_KM107842.1	tnpA	transposase
941_tnpA_FN649418.1	tnpA	transposase
1551_tnpA_KF483599.2	tnpA	transposase
2167_tnpA_CBTJ020000114.1	tnpA	transposase
2559_tnpA_Y17830.1	tnpA	transposase
273_tnpA_KF826292.1	tnpA	transposase
291_tnpA_KJ511462.1	tnpA	transposase
2768_tnpA_CP010516.1	tnpA	transposase
296_tnpA_KJ406378.1	tnpA	transposase
590_tnpA_AY123045.1	tnpA	transposase
819_tnpA_KU254577.1	tnpA	transposase
1019_tnpA_KF295829.1	tnpA	transposase
1105_tnpA_HE577330.1	tnpA	transposase
1424_tnpA_CXZU01000085.1	tnpA	transposase
1691_tnpA_CR377166.1	tnpA	transposase
1965_tnpA1_CXOJ01000027.1	tnpA1	transposase
2227_tnpA_BAER01000036.1	tnpA	transposase
2417_tnpA_CAOF01000139.1	tnpA	transposase
784_tnpA_KJ541070.1	tnpA	transposase
803_tnpA_AM743169.1	tnpA	transposase
2359_tnpA_FR854089.1	tnpA	transposase
2182_tnpA_CP007448.1	tnpA	transposase
2690_tnpA_Tn3_like_KR822247.1	tnpA	transposase
1155_tnpA_FP236830.1	tnpA	transposase
1206_tnpA_CP002179.1	tnpA	transposase
1760_tnpA_AH010393.2	tnpA	transposase
1781_tnpA_HE798556.1	tnpA	transposase
2193_tnpA_CXPB01000088.1	tnpA	transposase
1917_tnpA_AB262965.1	tnpA	transposase
1540_tnpA_CP000646.1	tnpA	transposase
2246_tnpA_LN681228.1	tnpA	transposase
2554_tnpA_CZDF01000174.1	tnpA	transposase
277_tnpA_AF071413.3	tnpA	transposase
1141_tnpA_KJ631729.1	tnpA	transposase
628_tnpA_AY297781.1	tnpA	transposase
1456_tnpA_LT599584.1	tnpA	transposase
1499_tnpA_L14931.1	tnpA	transposase
1798_tnpA_FP475957.1	tnpA	transposase
1841_tnpA_KJ439039.1	tnpA	transposase
286_tnpA_KU997026.1	tnpA	transposase
1811_tnpA-3_AJ877225.1	tnpA-3	transposase
1829_tnpA_AP014810.1	tnpA	transposase
2197_tnpA_AL954747.1	tnpA	transposase
2340_tnpA_AB238971.1	tnpA	transposase
2369_tnpA_AJ431260.1	tnpA	transposase
2562_tnpA_JX448550.1	tnpA	transposase
2607_tnpA_AF544991.1	tnpA	transposase
506_tnpA_AY327575.2	tnpA	transposase
533_tnpA_CBTV010000137.1	tnpA	transposase
704_tnpA_CP002152.1	tnpA	transposase
1030_tnpA_LK931667.1	tnpA	transposase
1121_tnpA_JX486125.1	tnpA	transposase
1122_tnpA_HM560971.1	tnpA	transposase
1159_tnpA_DQ057986.1	tnpA	transposase
1298_tnpA_12_CP012683.1	tnpA	transposase
1335_tnpA1_FN597644.1	tnpA1	transposase
1525_tnpA_KU130294.1	tnpA	transposase
1716_tnpA_AY821803.1	tnpA	transposase
1778_tnpA_JX469829.1	tnpA	transposase
2030_tnpA_HQ730118.1	tnpA	transposase
2179_tnpA_CCYE01000037.1	tnpA	transposase
2185_tnpA_CP003204.1	tnpA	transposase
2431_tnpA3_CP002151.1	tnpA3	transposase
2452_tnpA_CCAE010000033.1	tnpA	transposase
2627_tnpA_ISSod9_AE014300.1	tnpA	transposase
2702_tnpA_EF079106.1	tnpA	transposase
2711_tnpA_AF121000.1	tnpA	transposase
2728_tnpA_LT222315.1	tnpA	transposase
2734_tnpA_JN106164.1	tnpA	transposase
2796_tnpA5_CP002153.1	tnpA5	transposase
330_tnpA_KP893385.1	tnpA	transposase
341_tnpA_KU130294.1	tnpA	transposase
382_tnpA-2_AM261760.1	tnpA-2	transposase
434_tnpA_KC170280.1	tnpA	transposase
446_tnpA_KF856624.1	tnpA	transposase
552_tnpA_AJ344068.1	tnpA	transposase
662_tnpA_AJ251307.2	tnpA	transposase
684_tnpA_AB238971.1	tnpA	transposase
797_tnpA_EF469735.1	tnpA	transposase
926_tnpA2_AJ431260.1	tnpA2	transposase
398_tnpA*_EU287476.1	tnpA	transposase
1770_tnpA_AM039951.1	tnpA	transposase
2614_tnpA_AJ251743.1	tnpA	transposase
498_tnpA_CP003891.1	tnpA	transposase
1227_tnpA_AY780525.1	tnpA	transposase
1549_tnpA_CAGJ01000062.1	tnpA	transposase
2343_tnpA_LXLF01000020.1	tnpA	transposase
2492_tnpA_CAGJ01000127.1	tnpA	transposase
321_tnpA_CCXZ01000015.1	tnpA	transposase
1561_tnpA_AP010803.1	tnpA	transposase
2099_tnpA_AP010805.1	tnpA	transposase
2557_tnpA_CDNB01000043.1	tnpA	transposase
2766_tnpA_LN997849.1	tnpA	transposase
1775_tnpA_CP000040.1	tnpA	transposase
2194_tnpA_LC015492.1	tnpA	transposase
572_tnpA_CP004000.1	tnpA	transposase
2245_tnpA_CP000042.1	tnpA	transposase
2252_tnpA_LK021128.1	tnpA	transposase
1069_tnpA_HE999757.2	tnpA	transposase
1517_tnpA_AGFM01000122.1	tnpA	transposase
1621_tnpA_AY305378.1	tnpA	transposase
693_tnpA_X90708.2	tnpA	transposase
2172_tnpA_CYGX02000051.1	tnpA	transposase
2454_tnpA_CYGY02000079.1	tnpA	transposase
2495_tnpA_FMSH01000496.1	tnpA	transposase
1322_tnpA_FO203427.1	tnpA	transposase
2283_tnpA_CU633751.1	tnpA	transposase
2341_tnpA_KX530813.1	tnpA	transposase
557_tnpA_CP002367.1	tnpA	transposase
832_tnpA_GU591497.1	tnpA	transposase
2780_tnpA_HE999757.2	tnpA	transposase
464_tnpA_CP001603.1	tnpA	transposase
1403_tnpA_JN104632.1	tnpA	transposase
299_tnpA_AH010657.3	tnpA	transposase
1883_tnpA_JN127372.1	tnpA	transposase
1128_tnpA_JNFD01000045.1	tnpA	transposase
1267_tnpA_FO082821.1	tnpA	transposase
345_["tnpA[_Tn3_like"]KR822247.1	tnpA	transposase
1523_tnpA1_JFHO01000231.1	tnpA1	transposase
744_tnpA_AF110140.1	tnpA	transposase
549_tnpA_AP010803.1	tnpA	transposase
279_tnpA_M95402.1	tnpA	transposase
1289_tnpA_GQ468938.1	tnpA	transposase
1907_tnpA_AY232820.1	tnpA	transposase
2503_tnpA1_FMJB01000022.1	tnpA1	transposase
809_tnpA2_JFHO01000231.1	tnpA2	transposase
1091_tnpA_AY327575.2	tnpA	transposase
2205_tnpA_KX029331.1	tnpA	transposase
2267_tnpA_KC354801.1	tnpA	transposase
2735_tnpA_HE616891.1	tnpA	transposase
2273_tnpA_JYHQ01000107.1	tnpA	transposase
2510_tnpA_CANI01000054.1	tnpA	transposase
2443_tnpA_KC543497.1	tnpA	transposase
2035_tnpA_CBSZ010000094.1	tnpA	transposase
1088_tnpA_U33002.1	tnpA	transposase
2002_tnpA_AF072896.1	tnpA	transposase
287_tnpA_KT922275.1	tnpA	transposase
2451_tnpA_JN106169.1	tnpA	transposase
573_tnpA_AP014646.1	tnpA	transposase
1364_tnpA_LN681228.1	tnpA	transposase
1162_tnpA_ISSod4_AE014300.1	tnpA	transposase
308_tnpA_AM234722.1	tnpA	transposase
950_tnpA_CYCY01000048.1	tnpA	transposase
2189_tnpA_M90749.1	tnpA	transposase
2258_tnpA_CAHO01000139.1	tnpA	transposase
1503_tnpA_KF719970.1	tnpA	transposase
1293_tnpA_ISSod1_AE014300.1	tnpA	transposase
1125_tnpA_CXPB01000073.1	tnpA	transposase
2634_Tn916-orf16_KC414929	Tn916-orf16	Tn916
445_tnpA_AE008924.1	tnpA	transposase
1370_tnpA_AE014299.2	tnpA	transposase
1785_tnpA_AE014299.2	tnpA	transposase
1987_tnpA_AE014299.2	tnpA	transposase
